"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ronnie Rivers","LAR","37.6","152.7","0.9","6.2","46.1","0.1","0.0","31.5"
"Tyler Goodson","IND","33.0","170.0","1.0","5.0","32.0","0.0","0.0","31.2"
"Craig Reynolds","DET","33.4","139.9","1.1","5.1","43.7","0.1","0.1","30.8"
"Jordan Mason","SF","34.7","163.1","1.7","2.4","15.9","0.1","0.1","30.6"
"Kendall Milton","PHI","34.0","142.0","2.0","2.0","24.0","0.0","0.0","30.6"
"Isaiah Spiller","LAC","46.4","161.9","0.9","5.1","30.1","0.1","0.1","30.0"
"Cordarrelle Patterson","PIT","30.8","128.3","1.0","5.1","36.6","0.2","0.1","28.3"
"Gary Brightwell","NYG","40.1","130.2","0.6","5.6","50.1","0.1","0.0","27.5"
"Kevin Harris","NE","22.5","94.3","0.5","7.9","57.8","0.2","0.1","27.3"
"Hunter Luepke","DAL","9.6","33.0","2.1","6.3","43.6","0.1","0.0","27.0"
"Jase McClellan","ATL","33.0","142.0","1.0","3.2","28.2","0.1","0.1","26.9"
"Cody Schrader","SF","33.0","146.0","1.0","2.0","27.0","0.0","0.0","25.3"
"Nick Bawden","NYJ","6.0","17.0","3.0","3.0","25.0","0.0","0.0","25.2"
"Alec Ingold","MIA","0.0","0.0","0.0","13.1","95.1","0.4","0.1","25.1"
"Pierre Strong Jr.","CLE","35.0","172.0","1.0","1.0","8.0","0.0","0.0","25.0"
"Isaac Guerendo","SF","29.8","130.7","1.0","2.9","27.0","0.1","0.1","24.9"
"Royce Freeman","DAL","27.7","115.2","0.8","4.4","30.4","0.1","0.1","24.2"
"Dylan Laube","LV","15.0","61.6","0.3","8.5","60.1","0.3","0.1","24.0"
"La'Mical Perine","KC","21.7","90.7","0.7","4.3","30.7","0.2","0.1","21.2"
"Rasheen Ali","BAL","22.3","108.9","0.6","2.8","24.5","0.1","0.0","20.4"
"Jeff Wilson Jr.","MIA","20.3","98.3","0.7","3.3","25.1","0.1","0.0","20.3"
"Isaiah Davis","NYJ","16.5","69.0","0.4","4.2","29.5","0.2","0.1","17.5"
"Zander Horvath","NO","7.0","17.0","0.0","3.0","8.0","2.0","0.0","17.5"
"Chris Evans","CIN","13.6","58.0","0.5","4.5","30.9","0.2","0.1","17.3"
"Myles Gaskin","MIN","21.9","87.3","0.5","2.1","14.2","0.1","0.1","15.7"
"Sean Tucker","TB","11.0","47.0","0.3","4.2","29.6","0.2","0.1","14.8"
"Darrynton Evans","BUF","8.0","33.3","0.3","3.9","29.1","0.2","0.0","12.6"
"Michael Burton","DEN","7.7","31.9","0.2","4.2","28.8","0.2","0.1","12.4"
"JaMycal Hasty","NE","7.5","31.8","0.2","3.8","25.7","0.1","0.1","11.3"
"Avery Williams","ATL","4.0","17.4","0.2","4.4","29.7","0.2","0.0","11.1"
"Adam Prentice","NO","4.3","18.6","0.1","4.4","31.6","0.2","0.0","10.9"
"Keaontay Ingram","KC","10.8","44.7","0.3","2.2","14.9","0.1","0.0","10.5"
"Kene Nwangwu","MIN","10.9","46.5","0.3","2.1","14.5","0.1","0.1","10.4"
"Kimani Vidal","LAC","12.6","51.6","0.2","2.0","13.6","0.1","0.1","10.2"
"Travis Homer","CHI","4.0","17.7","0.1","4.0","29.1","0.1","0.0","10.1"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Raheem Blackshear","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
