"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"DeVante Parker","PHI","34.5","494.6","2.4","0.0","0.0","0.0","0.1","98.3"
"Jalin Hyatt","NYG","35.0","502.2","2.2","0.0","0.0","0.0","0.2","97.7"
"Ricky Pearsall","SF","31.9","476.0","2.8","3.4","20.5","0.1","1.1","97.1"
"Trey Palmer","TB","34.7","440.2","2.6","3.9","24.5","0.2","0.4","97.0"
"Josh Reynolds","DEN","32.0","429.9","3.6","0.0","0.0","0.0","0.6","95.2"
"Jamison Crowder","WAS","41.4","414.2","1.5","0.0","0.0","0.0","0.5","90.6"
"Jonathan Mingo","CAR","35.9","413.7","1.7","0.0","0.0","0.0","0.1","87.1"
"Jalen McMillan","TB","32.6","395.2","2.5","0.0","0.0","0.0","0.2","86.6"
"KaVontae Turpin","DAL","22.7","260.5","3.8","10.7","92.8","0.7","0.6","83.7"
"A.T. Perry","NO","23.8","375.5","3.7","0.5","1.5","0.0","0.0","83.5"
"Kalif Raymond","DET","32.5","359.8","1.8","4.5","30.1","0.2","0.4","82.6"
"Nelson Agholor","BAL","28.9","368.1","2.6","0.0","0.0","0.0","0.3","80.6"
"Greg Dortch","ARI","30.2","325.4","2.4","3.5","23.3","0.1","0.1","79.5"
"Van Jefferson","PIT","27.6","402.7","2.0","0.0","0.0","0.0","0.3","79.2"
"Cedrick Wilson Jr.","NO","24.1","305.3","3.1","0.5","1.5","0.0","0.1","73.2"
"Trenton Irwin","CIN","25.9","332.6","2.1","0.0","1.0","0.0","0.1","71.7"
"Luke McCaffrey","WAS","27.6","325.9","1.4","0.0","0.0","0.0","0.2","68.5"
"Alec Pierce","IND","19.9","319.1","1.9","0.0","0.0","0.0","0.1","63.0"
"Andrei Iosivas","CIN","22.8","253.4","2.0","0.0","0.0","0.0","0.3","59.6"
"Tutu Atwell","LAR","20.0","268.8","1.4","2.1","12.2","0.1","0.2","56.4"
"Calvin Austin III","PIT","18.0","236.7","0.9","9.0","53.8","0.4","0.3","54.2"
"Devontez Walker","BAL","18.8","228.4","1.6","0.0","0.0","0.0","0.1","51.0"
"Troy Franklin","DEN","19.3","242.1","1.2","0.0","0.0","0.0","0.1","50.3"
"KhaDarel Hodge","ATL","17.6","230.7","1.5","0.0","0.0","0.0","0.2","49.3"
"Treylon Burks","TEN","17.1","233.6","0.8","3.6","21.7","0.2","0.2","47.8"
"Justin Watson","KC","15.2","218.8","1.7","0.0","0.0","0.0","0.2","47.1"
"Brandon Powell","MIN","18.8","190.4","1.1","3.9","21.2","0.1","0.3","46.7"
"Mack Hollins","BUF","16.6","207.0","1.5","0.0","0.0","0.0","0.2","46.0"
"Jake Bobo","SEA","14.7","158.2","1.1","8.4","51.1","0.5","0.2","44.6"
"Tre Tucker","LV","13.4","163.8","0.7","12.0","76.9","0.5","0.3","43.7"
"Xavier Gipson","NYJ","13.7","168.0","1.4","4.4","28.4","0.3","0.2","43.4"
"Jauan Jennings","SF","15.5","195.6","1.2","0.0","0.0","0.0","0.2","41.6"
"Derius Davis","LAC","10.8","110.9","0.8","13.4","85.9","0.3","0.2","36.7"
"Deven Thompkins","TB","10.4","120.4","0.8","7.8","51.0","0.4","0.2","34.0"
"Cedric Tillman","CLE","12.3","155.6","1.0","0.0","0.0","0.0","0.1","33.3"
"JuJu Smith-Schuster","NE","14.5","132.0","0.5","0.0","0.0","0.0","0.2","30.4"
"Ryan Flournoy","DAL","11.2","133.1","1.0","0.0","0.0","0.0","0.1","30.2"
"Devin Duvernay","JAC","11.7","111.3","0.7","2.0","13.1","0.1","0.1","28.4"
"Bo Melton","GB","9.8","114.3","0.8","2.1","13.0","0.1","0.1","27.5"
"Ray-Ray McCloud III","ATL","11.6","115.2","0.8","0.0","0.0","0.0","0.1","27.3"
"Trent Sherfield Sr.","MIN","9.7","126.6","0.8","0.0","0.0","0.0","0.1","26.8"
"David Moore","CAR","10.5","122.3","0.6","0.0","0.0","0.0","0.1","26.2"
"Skyy Moore","KC","9.0","111.6","0.9","0.0","0.0","0.0","0.1","25.4"
"Dyami Brown","WAS","8.5","126.4","0.6","0.0","0.0","0.0","0.1","24.8"
"Javon Baker","NE","10.0","115.5","0.6","0.0","0.0","0.0","0.1","24.7"
"K.J. Osborn","NE","10.2","106.7","0.6","0.0","0.0","0.0","0.1","23.9"
"Donovan Peoples-Jones","DET","8.3","105.3","0.6","0.0","0.0","0.0","0.1","21.9"
"Laviska Shenault Jr.","SEA","7.7","77.3","0.4","4.2","22.4","0.2","0.1","20.8"
"Kadarius Toney","KC","5.6","55.0","0.5","7.7","41.5","0.4","0.1","20.4"
"Jason Brownlee","NYJ","7.1","82.5","0.7","0.0","0.0","0.0","0.1","19.5"
"Jordan Whittington","LAR","7.0","85.5","0.5","0.0","0.0","0.0","0.0","18.5"
"KJ Hamler","BUF","6.2","85.4","0.5","0.0","0.0","0.0","0.1","17.4"
"Quez Watkins","PIT","6.4","76.1","0.4","0.0","0.0","0.0","0.1","16.0"
"Tyler Scott","CHI","4.6","54.8","0.4","4.2","25.8","0.2","0.1","16.0"
"David Bell","CLE","6.7","70.2","0.3","0.0","0.0","0.0","0.1","15.4"
"Jalen Nailor","MIN","6.0","73.0","0.3","0.0","0.0","0.0","0.1","15.2"
"Anthony Gould","IND","6.2","70.0","0.3","0.0","0.0","0.0","0.0","15.1"
"Isaiah McKenzie","NYG","4.0","31.8","0.2","7.6","40.6","0.3","0.1","13.9"
"John Metchie III","HOU","4.9","61.2","0.4","0.0","0.0","0.0","0.1","13.5"
"Nick Westbrook-Ikhine","TEN","5.0","60.3","0.4","0.0","0.0","0.0","0.1","13.0"
"Braxton Berrios","MIA","5.7","53.5","0.3","0.0","0.0","0.0","0.1","12.9"
"Ihmir Smith-Marsette","CAR","3.2","37.6","0.2","4.2","28.3","0.3","0.1","12.1"
"Parris Campbell","PHI","4.9","47.7","0.3","0.0","0.0","0.0","0.1","11.2"
"Charlie Jones","CIN","3.8","41.1","0.3","0.0","0.0","0.0","0.0","9.4"
"Jalen Reagor","NE","2.7","39.3","0.2","2.0","11.9","0.1","0.1","9.3"
"Brenden Rice","LAC","3.3","36.3","0.2","0.0","0.0","0.0","0.0","8.3"
"Dee Eskridge","SEA","3.1","38.6","0.2","0.0","0.0","0.0","0.0","8.3"
"Zach Pascal","ARI","3.1","35.2","0.2","0.0","0.0","0.0","0.0","7.9"
